trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.4, 'e': 0.9524999999999941}",20,0,-62.65634389478556,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
166,False,"{'a': 0.4, 'e': 0.9509999999999942}",20,0,-97.29411842751374,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
167,False,"{'a': 0.4, 'e': 0.9494999999999942}",25,0,-114.64145589767514,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
168,False,"{'a': 0.4, 'e': 0.9479999999999943}",20,0,-127.49322049886153,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
169,False,"{'a': 0.4, 'e': 0.9464999999999943}",25,0,-108.1065156747007,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
170,False,"{'a': 0.4, 'e': 0.9449999999999944}",20,0,-70.69037036528705,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
171,False,"{'a': 0.4, 'e': 0.9434999999999945}",30,0,-267.9348031981602,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 5}",0
172,False,"{'a': 0.4, 'e': 0.9419999999999945}",25,0,-106.82688425060854,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
173,False,"{'a': 0.4, 'e': 0.9404999999999946}",20,0,-186.2292739228577,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 2}",0
174,False,"{'a': 0.4, 'e': 0.9389999999999946}",30,0,-110.84081870677618,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
175,False,"{'a': 0.4, 'e': 0.9374999999999947}",30,0,-60.80090139135574,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.4, 'e': 0.9359999999999947}",25,0,-61.69506318956037,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
177,False,"{'a': 0.4, 'e': 0.9344999999999948}",25,0,-132.63445575579797,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
178,False,"{'a': 0.4, 'e': 0.9329999999999948}",35,0,-195.24964848334682,"{0: 21, 1: 3, 2: 8, 3: 0, 4: 3}",0
179,False,"{'a': 0.4, 'e': 0.9314999999999949}",25,0,-212.87409740121643,"{0: 9, 1: 3, 2: 8, 3: 4, 4: 1}",0
180,False,"{'a': 0.4, 'e': 0.9299999999999949}",20,0,-47.572147917407634,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
181,False,"{'a': 0.4, 'e': 0.928499999999995}",25,0,-51.736187791291066,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
182,False,"{'a': 0.4, 'e': 0.926999999999995}",20,0,-121.52108500435135,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
